"","Country.Name","SE.XPD.TOTL.GD.ZS_2010","SE.PRM.ENRR.FE_2010","SE.ENR.PRIM.FM.ZS_2010","SE.PRM.UNER_2010","SE.XPD.TOTL.GD.ZS_2011","SE.PRM.ENRR.FE_2011","SE.ENR.PRIM.FM.ZS_2011","SE.PRM.UNER_2011","SE.XPD.TOTL.GD.ZS_2012","SE.PRM.ENRR.FE_2012","SE.ENR.PRIM.FM.ZS_2012","SE.PRM.UNER_2012","SE.XPD.TOTL.GD.ZS_2013","SE.PRM.ENRR.FE_2013","SE.ENR.PRIM.FM.ZS_2013","SE.PRM.UNER_2013","SE.XPD.TOTL.GD.ZS_2014","SE.PRM.ENRR.FE_2014","SE.ENR.PRIM.FM.ZS_2014","SE.PRM.UNER_2014","SE.XPD.TOTL.GD.ZS_2015","SE.PRM.ENRR.FE_2015","SE.ENR.PRIM.FM.ZS_2015","SE.PRM.UNER_2015","SE.XPD.TOTL.GD.ZS_2016","SE.PRM.ENRR.FE_2016","SE.ENR.PRIM.FM.ZS_2016","SE.PRM.UNER_2016","SE.XPD.TOTL.GD.ZS_2017","SE.PRM.ENRR.FE_2017","SE.ENR.PRIM.FM.ZS_2017","SE.PRM.UNER_2017","SE.XPD.TOTL.GD.ZS_2018","SE.PRM.ENRR.FE_2018","SE.ENR.PRIM.FM.ZS_2018","SE.PRM.UNER_2018","SE.XPD.TOTL.GD.ZS_2019","SE.PRM.ENRR.FE_2019","SE.ENR.PRIM.FM.ZS_2019","SE.PRM.UNER_2019"
"1","Afghanistan",3.47945,80.63546,0.67981,NA,3.46201,80.93683,0.71258,NA,2.6042,86.32884,0.72026,NA,3.45446,85.90214,0.70286,NA,3.69522,86.7296,0.69825,NA,3.2558,83.50442,0.68081,NA,4.22836,82.55836,0.67937,NA,4.05887,82.08028,0.67617,NA,NA,82.85025,0.66691,NA,NA,NA,NA,NA
"2","Albania",NA,93.80494,1.00642,29727,NA,95.78378,1.01557,24907,NA,98.40964,1.01601,16471,3.5393,101.15748,1.02221,9113,NA,106.12752,1.03682,4527,3.43797,107.29018,1.0313,3929,3.96209,107.53385,1.03555,3988,3.61172,108.87005,1.03224,3628,NA,109.11123,1.03765,4085,NA,106.44361,1.02963,3359
"3","Algeria",NA,111.54048,0.93749,30997,NA,112.78835,0.9384,26336,NA,114.63906,0.94445,24848,NA,116.31155,0.94841,NA,NA,115.46546,0.95096,NA,NA,112.99054,0.9523,23175,NA,110.83654,0.94972,26224,NA,108.89749,0.95093,19722,NA,107.30229,0.95499,14211,NA,104.85988,0.95585,16430
"4","American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Andorra",2.97663,NA,NA,NA,2.98706,NA,NA,NA,NA,NA,NA,NA,2.50616,NA,NA,NA,3.07421,NA,NA,NA,3.28035,NA,NA,NA,3.23707,NA,NA,NA,3.21709,NA,NA,NA,3.24672,NA,NA,NA,3.15162,NA,NA,NA
"6","Angola",3.42132,94.05665,0.79943,730775,NA,92.45637,0.62922,773837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.88815,0.87413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Antigua and Barbuda",NA,107.29104,0.91542,368,NA,106.41579,0.92814,170,NA,105.35117,0.95211,431,NA,NA,NA,NA,NA,103.29183,0.94992,534,NA,103.16389,0.96619,117,NA,NA,NA,NA,NA,102.82641,0.98406,235,NA,104.59891,0.99208,66,NA,NA,NA,NA
"8","Arab World",NA,92.08309,0.9229,6389977,NA,91.42187,0.91804,6612852,NA,93.87269,0.92944,6635164,NA,92.85067,0.93089,7112736,NA,92.77944,0.93668,7478493,NA,92.52657,0.94095,7509429,NA,92.39304,0.94133,7567118,NA,92.61421,0.94452,7438706,NA,92.84049,0.94617,7486016,NA,93.07939,0.94882,7677399
"9","Argentina",5.01971,116.22167,0.98741,25533,5.29063,114.91864,0.98824,24042,5.34583,113.53876,0.98823,24382,5.43661,111.52934,0.99157,17457,5.36144,111.34255,0.99794,4205,5.77611,111.2357,0.99881,2420,5.54549,110.60607,0.99764,19510,5.46223,109.62778,0.99797,18743,NA,NA,NA,NA,NA,NA,NA,NA
"10","Armenia",3.249,100.71847,1.03138,NA,3.14385,99.44019,1.01835,6728,2.77248,99.61921,1.0133,5023,2.65018,99.10623,1.01253,4874,2.24724,97.53677,1.01302,8641,2.80591,95.77111,1.01521,10601,2.75812,94.96555,1.0089,11786,2.70759,94.2442,1.00321,12428,NA,92.6959,0.99961,11426,NA,92.10543,1.00534,14928
