Country Name,Country Code,Series,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.47945,3.46201,2.6042,3.45446,3.69522,3.2558,4.22836,4.05887,NA,NA
Afghanistan,AFG,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,80.63546,80.93683,86.32884,85.90214,86.7296,83.50442,82.55836,82.08028,82.85025,NA
Afghanistan,AFG,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.67981,0.71258,0.72026,0.70286,0.69825,0.68081,0.67937,0.67617,0.66691,NA
Afghanistan,AFG,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albania,ALB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,NA,NA,NA,3.5393,NA,3.43797,3.96209,3.61172,NA,NA
Albania,ALB,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,93.80494,95.78378,98.40964,101.15748,106.12752,107.29018,107.53385,108.87005,109.11123,106.44361
Albania,ALB,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.00642,1.01557,1.01601,1.02221,1.03682,1.0313,1.03555,1.03224,1.03765,1.02963
Albania,ALB,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,29727,24907,16471,9113,4527,3929,3988,3628,4085,3359
Algeria,DZA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algeria,DZA,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,111.54048,112.78835,114.63906,116.31155,115.46546,112.99054,110.83654,108.89749,107.30229,104.85988
Algeria,DZA,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.93749,0.9384,0.94445,0.94841,0.95096,0.9523,0.94972,0.95093,0.95499,0.95585
Algeria,DZA,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,30997,26336,24848,NA,NA,23175,26224,19722,14211,16430
American Samoa,ASM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Samoa,ASM,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Samoa,ASM,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
American Samoa,ASM,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,AND,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.97663,2.98706,NA,2.50616,3.07421,3.28035,3.23707,3.21709,3.24672,3.15162
