"","Country.Name","SI.POV.NAHC_2000","SI.DST.FRST.20_2000","SP.DYN.LE00.IN_2000","SE.ENR.PRSC.FM.ZS_2000","NY.GDP.MKTP.CD_2000","NY.GDP.MKTP.KD.ZG_2000","NY.GDP.PCAP.CD_2000","FP.CPI.TOTL.ZG_2000","SI.POV.NAHC_2001","SI.DST.FRST.20_2001","SP.DYN.LE00.IN_2001","SE.ENR.PRSC.FM.ZS_2001","NY.GDP.MKTP.CD_2001","NY.GDP.MKTP.KD.ZG_2001","NY.GDP.PCAP.CD_2001","FP.CPI.TOTL.ZG_2001","SI.POV.NAHC_2002","SI.DST.FRST.20_2002","SP.DYN.LE00.IN_2002","SE.ENR.PRSC.FM.ZS_2002","NY.GDP.MKTP.CD_2002","NY.GDP.MKTP.KD.ZG_2002","NY.GDP.PCAP.CD_2002","FP.CPI.TOTL.ZG_2002","SI.POV.NAHC_2003","SI.DST.FRST.20_2003","SP.DYN.LE00.IN_2003","SE.ENR.PRSC.FM.ZS_2003","NY.GDP.MKTP.CD_2003","NY.GDP.MKTP.KD.ZG_2003","NY.GDP.PCAP.CD_2003","FP.CPI.TOTL.ZG_2003","SI.POV.NAHC_2004","SI.DST.FRST.20_2004","SP.DYN.LE00.IN_2004","SE.ENR.PRSC.FM.ZS_2004","NY.GDP.MKTP.CD_2004","NY.GDP.MKTP.KD.ZG_2004","NY.GDP.PCAP.CD_2004","FP.CPI.TOTL.ZG_2004","SI.POV.NAHC_2005","SI.DST.FRST.20_2005","SP.DYN.LE00.IN_2005","SE.ENR.PRSC.FM.ZS_2005","NY.GDP.MKTP.CD_2005","NY.GDP.MKTP.KD.ZG_2005","NY.GDP.PCAP.CD_2005","FP.CPI.TOTL.ZG_2005","SI.POV.NAHC_2006","SI.DST.FRST.20_2006","SP.DYN.LE00.IN_2006","SE.ENR.PRSC.FM.ZS_2006","NY.GDP.MKTP.CD_2006","NY.GDP.MKTP.KD.ZG_2006","NY.GDP.PCAP.CD_2006","FP.CPI.TOTL.ZG_2006","SI.POV.NAHC_2007","SI.DST.FRST.20_2007","SP.DYN.LE00.IN_2007","SE.ENR.PRSC.FM.ZS_2007","NY.GDP.MKTP.CD_2007","NY.GDP.MKTP.KD.ZG_2007","NY.GDP.PCAP.CD_2007","FP.CPI.TOTL.ZG_2007","SI.POV.NAHC_2008","SI.DST.FRST.20_2008","SP.DYN.LE00.IN_2008","SE.ENR.PRSC.FM.ZS_2008","NY.GDP.MKTP.CD_2008","NY.GDP.MKTP.KD.ZG_2008","NY.GDP.PCAP.CD_2008","FP.CPI.TOTL.ZG_2008","SI.POV.NAHC_2009","SI.DST.FRST.20_2009","SP.DYN.LE00.IN_2009","SE.ENR.PRSC.FM.ZS_2009","NY.GDP.MKTP.CD_2009","NY.GDP.MKTP.KD.ZG_2009","NY.GDP.PCAP.CD_2009","FP.CPI.TOTL.ZG_2009","SI.POV.NAHC_2010","SI.DST.FRST.20_2010","SP.DYN.LE00.IN_2010","SE.ENR.PRSC.FM.ZS_2010","NY.GDP.MKTP.CD_2010","NY.GDP.MKTP.KD.ZG_2010","NY.GDP.PCAP.CD_2010","FP.CPI.TOTL.ZG_2010","SI.POV.NAHC_2011","SI.DST.FRST.20_2011","SP.DYN.LE00.IN_2011","SE.ENR.PRSC.FM.ZS_2011","NY.GDP.MKTP.CD_2011","NY.GDP.MKTP.KD.ZG_2011","NY.GDP.PCAP.CD_2011","FP.CPI.TOTL.ZG_2011","SI.POV.NAHC_2012","SI.DST.FRST.20_2012","SP.DYN.LE00.IN_2012","SE.ENR.PRSC.FM.ZS_2012","NY.GDP.MKTP.CD_2012","NY.GDP.MKTP.KD.ZG_2012","NY.GDP.PCAP.CD_2012","FP.CPI.TOTL.ZG_2012","SI.POV.NAHC_2013","SI.DST.FRST.20_2013","SP.DYN.LE00.IN_2013","SE.ENR.PRSC.FM.ZS_2013","NY.GDP.MKTP.CD_2013","NY.GDP.MKTP.KD.ZG_2013","NY.GDP.PCAP.CD_2013","FP.CPI.TOTL.ZG_2013","SI.POV.NAHC_2014","SI.DST.FRST.20_2014","SP.DYN.LE00.IN_2014","SE.ENR.PRSC.FM.ZS_2014","NY.GDP.MKTP.CD_2014","NY.GDP.MKTP.KD.ZG_2014","NY.GDP.PCAP.CD_2014","FP.CPI.TOTL.ZG_2014","SI.POV.NAHC_2015","SI.DST.FRST.20_2015","SP.DYN.LE00.IN_2015","SE.ENR.PRSC.FM.ZS_2015","NY.GDP.MKTP.CD_2015","NY.GDP.MKTP.KD.ZG_2015","NY.GDP.PCAP.CD_2015","FP.CPI.TOTL.ZG_2015"
"1","Afghanistan",NA,NA,55.841,NA,NA,NA,NA,NA,NA,NA,56.308,0,NA,NA,NA,NA,NA,NA,56.784,NA,4055179566,NA,179.426611,NA,NA,NA,57.271,0.544260025,4515558808,8.832277804,190.6838143,NA,NA,NA,57.772,0.405820012,5226778809,1.41411798,211.3821169,NA,NA,NA,58.29,0.547689974,6209137625,11.22971484,242.0312849,12.68626872,NA,NA,58.826,0.573230028,6971285595,5.357403248,263.7336917,6.78459655,33.7,NA,59.375,0.567200005,9747879532,13.82631954,359.6932375,8.680570785,NA,NA,59.93,0.586019993,10109225814,3.924983823,364.6607448,26.41866415,NA,NA,60.484,0.609610021,12439087077,21.39052841,438.0760344,-6.811161089,NA,NA,61.028,0.625810027,15856574731,14.36244146,543.3030419,2.178537524,38.3,NA,61.553,0.663450003,17804292964,0.426354793,591.162759,11.80418581,NA,NA,62.054,0.669250011,20001598506,12.75228708,641.8714792,6.441212809,NA,NA,62.525,0.655330002,20561069558,5.600744661,637.1655232,7.385771784,NA,NA,62.966,0.654020011,20484885120,2.724543365,613.8566892,4.673996035,NA,NA,63.377,0.642329991,19907111419,1.451314655,578.4663529,-0.661709165
"2","Albania",NA,NA,73.955,0.976209998,3480355189,6.950036134,1126.683318,0.050018136,NA,NA,74.288,0.987320006,3922099471,8.290070027,1281.659393,3.10758827,25.4,8.4,74.579,NA,4348070165,4.53996064,1425.124849,7.770525834,NA,NA,74.828,NA,5611492283,5.530050778,1846.118813,0.484002612,NA,NA,75.039,0.980199993,7184681399,5.509998693,2373.579844,2.280019169,18.5,8.4,75.228,0.97803998,8052075642,5.529914809,2673.787283,2.366581957,NA,NA,75.423,0.985040009,8896073938,5.900083957,2972.743265,2.370728319,NA,NA,75.646,0.996869981,10677321490,5.979982036,3595.037163,2.932682482,12.4,8.9,75.912,0.999790013,12881354104,7.49996956,4370.540127,3.363137574,NA,NA,76.221,1.017809987,12044223353,3.350066528,4114.140114,2.231396835,NA,NA,76.562,1.005689979,11926928506,3.706892301,4094.350334,3.622335411,NA,NA,76.914,1.000290036,12890765324,2.545321845,4437.142885,3.429123247,14.3,8.9,77.252,0.990100026,12319830252,1.417525992,4247.629984,2.03159594,NA,NA,77.554,0.981589973,12776217195,1.00198715,4413.060861,1.937617549,NA,7,77.813,0.976679981,13228144008,1.774486785,4578.631994,1.625865044,NA,7.7,78.025,0.982420027,11386846319,2.218752232,3952.801215,1.896174026
"3","Algeria",NA,NA,70.64,0.964209974,54790233856,3.8,1765.022198,0.339163189,NA,NA,71.116,0.974020004,54744725766,3,1740.607011,4.225988349,NA,NA,71.605,0.98010999,56760246982,5.6,1781.825546,1.418301923,NA,NA,72.101,0.990549982,67863841333,7.2,2103.381822,4.268953958,NA,NA,72.594,0.995850027,85325003122,4.3,2609.952823,3.961800303,NA,NA,73.072,0.999260008,1.03198e+11,5.9,3113.095331,1.382446567,NA,NA,73.521,1.00127995,1.17027e+11,1.7,3478.710929,2.311499185,NA,NA,73.936,1.00127995,1.34846e+11,3.4,3946.664452,3.678995747,NA,NA,74.311,0.986199975,1.71008e+11,2.4,4923.843185,4.858590628,NA,NA,74.644,0.979049981,1.37206e+11,1.6,3883.132425,5.737060361,NA,NA,74.938,0.993629992,1.61155e+11,3.6,4479.34172,3.911061955,5.5,9.4,75.199,0.994899988,2.00254e+11,2.9,5462.260897,4.524211505,NA,NA,75.436,NA,2.09021e+11,3.4,5591.212353,8.891450911,NA,NA,75.661,NA,2.09724e+11,2.8,5498.784095,3.25423911,NA,NA,75.878,NA,2.1386e+11,3.8,5494.352336,2.916926921,NA,NA,76.09,NA,1.66361e+11,3.7,4187.509727,4.784447007
"4","American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.14e+08,NA,8700.067705,NA,NA,NA,NA,NA,5.27e+08,0.814111262,8856.547459,NA,NA,NA,NA,NA,5.12e+08,0.538358008,8578.944723,NA,NA,NA,NA,NA,5.03e+08,-0.401606426,8444.9817,NA,NA,NA,NA,NA,4.96e+08,-4.166666667,8391.561067,NA,NA,NA,NA,NA,5.2e+08,1.963534362,8909.449156,NA,NA,NA,NA,NA,5.63e+08,-2.613480055,9792.666806,NA,NA,NA,NA,NA,6.78e+08,-4.237288136,11961.25823,NA,NA,NA,NA,NA,5.76e+08,0.442477876,10271.22452,NA,NA,NA,NA,NA,5.74e+08,0.293685756,10294.30227,NA,NA,NA,NA,NA,6.44e+08,-4.39238653,11568.793,NA,NA,NA,NA,NA,6.41e+08,-2.756508423,11505.39371,NA,NA,NA,NA,NA,6.42e+08,0.94488189,11507.23235,NA,NA,NA,NA,NA,6.61e+08,1.404056162,11843.33118,NA
"5","Andorra",NA,NA,NA,NA,1429049198,3.528361297,21854.2468,NA,NA,NA,NA,NA,1546926174,8.119357722,22971.53554,NA,NA,NA,NA,NA,1755910032,4.546362214,25066.88221,NA,NA,NA,NA,NA,2361726862,8.694203716,32271.9639,NA,NA,NA,NA,NA,2894921778,8.135676338,37969.17499,NA,NA,NA,NA,NA,3159905484,5.397795985,40066.25692,NA,NA,NA,NA,NA,3456442103,4.808688699,42675.81276,NA,NA,NA,NA,NA,3952600602,1.553188141,47803.69361,NA,NA,NA,NA,NA,4085630584,-5.559186369,48718.49687,NA,NA,NA,NA,NA,3674409558,-5.302846543,43503.18552,NA,NA,NA,NA,NA,3449966857,-1.974958,40852.66678,NA,NA,NA,NA,NA,3629203786,-0.008069753,43335.32886,NA,NA,NA,NA,NA,3188808943,-4.974443719,38686.46126,NA,NA,NA,NA,NA,3193704343,-3.547596515,39538.76672,NA,NA,NA,NA,NA,3271808157,2.504465521,41303.92937,NA,NA,NA,NA,NA,2789870188,1.434140395,35762.52307,NA
"6","Angola",NA,3.2,46.522,NA,9129594819,3.054624234,556.8363181,NA,NA,NA,47.059,NA,8936063723,4.205998556,527.3335285,NA,NA,NA,47.702,NA,15285594828,13.66568652,872.4944916,NA,NA,NA,48.44,NA,17812705294,2.98985001,982.9608993,NA,NA,NA,49.263,NA,23552052408,10.95286177,1255.564045,NA,NA,NA,50.165,NA,36970918699,15.02891532,1902.422346,NA,NA,NA,51.143,NA,52381006892,11.54768318,2599.566464,NA,NA,NA,52.177,NA,65266452081,14.01001824,3121.995637,NA,NA,5.4,53.243,0.833090007,88538611205,11.16613833,4080.94141,NA,NA,NA,54.311,0.823400021,70307163678,0.858712615,3122.780766,NA,NA,NA,55.35,0.777629972,83799496611,4.403932543,3587.883798,NA,NA,NA,56.33,0.630320013,1.1179e+11,3.471976345,4615.468028,NA,NA,NA,57.236,NA,1.28053e+11,8.542187643,5100.095808,NA,NA,NA,58.054,NA,1.3671e+11,4.954544646,5254.882338,NA,NA,NA,58.776,NA,1.45712e+11,4.822627568,5408.410496,NA,NA,NA,59.398,NA,1.16194e+11,0.943571561,4166.979684,NA
"7","Antigua and Barbuda",NA,NA,73.94,NA,826370370.4,6.203431254,10871.00571,0.771779797,NA,NA,74.171,NA,800481481.5,-4.548003473,10367.31961,1.402796636,NA,NA,74.395,NA,814381481.5,1.02744197,10401.44941,2.407658013,NA,NA,74.613,NA,856396296.3,6.076543688,10799.44888,1.993530552,NA,NA,74.821,NA,919729629.6,5.767028612,11448.53652,2.030077579,NA,NA,75.019,NA,1022962963,6.473831316,12557.08541,2.098751967,NA,NA,75.204,NA,1157662963,12.70814853,13997.66593,1.787785374,NA,NA,75.376,0.983640015,1312759259,9.315383163,15623.25065,1.416052594,NA,NA,75.535,0.965020001,1370070370,-0.014340652,16043.54217,5.333806398,NA,NA,75.683,0.990239978,1228329630,-11.96269725,14160.07228,-0.550159996,NA,NA,75.823,0.971769989,1148700000,-7.840594744,13049.25705,3.370025402,NA,NA,75.956,0.964439988,1137637037,-1.958612628,12746.20502,3.456749672,NA,NA,76.087,1.039039969,1199948148,3.3728662,13272.44133,3.376880443,NA,NA,76.218,NA,1181448148,-0.600876397,12909.74418,1.059497824,NA,NA,76.349,0.974340022,1249733333,3.795727613,13501.58092,1.089441574,NA,NA,76.483,0.990040004,1336692593,3.825293099,14286.09316,0.968993459
"8","Argentina",NA,3.2,73.576,1.015869975,2.84204e+11,-0.788998939,7708.100996,NA,NA,2.6,73.755,1.01778996,2.68697e+11,-4.408839683,7208.371567,NA,NA,2.8,73.932,1.018100023,97724004252,-10.89448483,2593.40415,NA,NA,3.2,74.107,1.022079945,1.27587e+11,8.837040796,3349.806124,NA,NA,3.5,74.28,1.02778995,1.64658e+11,9.029573301,4277.721351,NA,NA,3.7,74.451,1.032999992,1.98737e+11,8.85165992,5109.851325,NA,NA,3.7,74.62,1.040220022,2.32557e+11,8.0471515,5919.012037,NA,NA,3.9,74.787,1.046380043,2.87531e+11,9.007650875,7245.448317,NA,NA,4,74.952,1.050009966,3.61558e+11,4.057233103,9020.873098,NA,NA,4.1,75.116,1.047539949,3.32976e+11,-5.918525076,8225.137176,NA,NA,4.1,75.278,1.035979986,4.23627e+11,10.12539816,10385.96443,NA,NA,4.8,75.439,1.040199995,5.30163e+11,6.003951693,12848.8642,NA,NA,5,75.598,1.034610033,5.45982e+11,-1.026420454,13082.66433,NA,NA,5,75.756,1.03136003,5.52025e+11,2.405323781,13080.25473,NA,NA,5,75.913,1.031229973,5.2632e+11,-2.512615321,12334.79825,NA,NA,NA,76.068,1.028380036,5.94749e+11,2.731159828,13789.06042,NA
"9","Armenia",NA,NA,71.409,1.071140051,1911563665,5.900000003,622.7421391,-0.790883769,NA,7.7,71.8,NA,2118467913,9.599999999,694.4232277,3.145904647,NA,8,72.112,NA,2376335048,13.2,783.2406986,1.060049293,NA,8.7,72.348,NA,2807061009,14,930.1273219,4.721553366,53.5,7.6,72.513,NA,3576615240,10.5,1191.91902,6.961261359,40.1,8.1,72.626,NA,4900469950,13.9,1643.753029,0.638928002,30.2,8.9,72.716,NA,6384451606,13.2,2158.143697,2.892356625,26.4,8.4,72.815,1.006010056,9206301700,13.7,3139.277499,4.407360896,27.6,9.1,72.946,0.995670021,11662040714,6.9,4010.857243,8.949953354,34.1,9.4,73.118,0.989899993,8647936748,-14.1,2994.342544,3.406766827,35.8,9.1,73.331,0.995220006,9260284938,2.2,3218.372707,8.176361385,35,9,73.572,1.007719994,10142111334,4.699999999,3525.804747,7.650008079,32.4,9,73.82,NA,10619320049,7.200000001,3681.857456,2.558020078,32,8.6,74.056,1.02907002,11121465767,3.3,3838.185801,5.789667785,30,8.4,74.273,1.040339947,11609512940,3.600000001,3986.231624,2.981308689,29.8,8.2,74.467,1.037989974,10553337673,3.199999999,3607.296697,3.731691193
"10","Aruba",NA,NA,73.787,0.992659986,1873452514,7.616588194,20620.70063,4.044021312,NA,NA,73.853,0.999490023,1920111732,-2.971256724,20669.03197,2.883604303,NA,NA,73.937,0.989000022,1941340782,-3.273646411,20436.88713,3.315246786,NA,NA,74.038,0.97706002,2021229050,1.975547262,20833.76161,3.656365079,NA,NA,74.156,0.952910006,2228491620,7.911563466,22569.97499,2.529129469,NA,NA,74.287,0.963389993,2330726257,1.214349349,23300.03956,3.397786778,NA,NA,74.429,0.967980027,2424581006,1.050607528,24045.27248,3.608024388,NA,NA,74.576,0.98676002,2615083799,1.800225971,25835.13267,5.392567845,NA,NA,74.725,1.005609989,2745251397,-0.090708046,27084.70369,8.955987052,NA,NA,74.872,1.00443995,2498882682,-10.51974854,24630.45371,-2.13542872,NA,NA,75.017,1.014600039,2390502793,-3.685029387,23512.6026,2.078140719,NA,NA,75.158,1.008710027,2549720670,3.44605475,24985.99328,4.316297422,NA,NA,75.299,1.021559954,2534636872,-1.369863014,24713.69805,0.627471993,NA,NA,75.441,NA,2701675978,4.198232323,26189.43551,-2.372065243,NA,NA,75.583,NA,2765363128,0.3,26647.9381,0.421440919,NA,NA,75.725,NA,2919553073,5.700000876,27980.8807,0.474763597
